107.173.154.24:2096 # US,182.00 ms,7.76 Mbps
117.55.239.57:443 # AU,191.00 ms,7.13 Mbps
142.248.218.163:2053 # DE,194.00 ms,6.91 Mbps
94.159.99.250:443 # RU,209.00 ms,6.62 Mbps
94.159.104.1:443 # RU,210.00 ms,5.54 Mbps
185.103.100.52:8443 # IR,229.00 ms,5.57 Mbps
85.198.109.79:8443 # RU,249.00 ms,5.47 Mbps
142.248.219.118:2053 # DE,190.00 ms,8.52 Mbps
193.187.132.189:2053 # TR,250.00 ms,5.18 Mbps
77.239.101.8:8443 # DE,265.00 ms,5.50 Mbps
64.188.97.240:443 # DE,273.00 ms,5.65 Mbps
2.26.112.231:443 # GB,277.00 ms,5.33 Mbps
85.121.53.39:443 # RO,185.00 ms,0.00 Mbps
152.53.239.169:8443 # AT,187.00 ms,0.00 Mbps
57.129.137.219:443 # US,192.00 ms,0.00 Mbps
152.53.136.238:443 # AT,192.00 ms,0.00 Mbps
5.75.213.197:443 # DE,192.00 ms,0.00 Mbps
146.59.156.154:8443 # PL,193.00 ms,0.00 Mbps
77.221.155.76:443 # RU,286.00 ms,5.23 Mbps
152.228.134.97:2053 # US,196.00 ms,0.00 Mbps
138.197.194.78:443 # US,198.00 ms,0.00 Mbps
178.104.157.49:443 # SG,198.00 ms,0.00 Mbps
79.132.141.152:443 # NL,198.00 ms,0.00 Mbps
54.36.98.76:2053 # US,199.00 ms,0.00 Mbps
145.239.88.255:2053 # PL,203.00 ms,0.00 Mbps
37.252.189.207:443 # AT,203.00 ms,0.00 Mbps
62.60.152.26:443 # CN,301.00 ms,5.79 Mbps
77.221.138.199:8443 # RU,295.00 ms,4.90 Mbps
45.144.51.133:8443 # NL,286.00 ms,4.07 Mbps
45.144.53.206:443 # NL,292.00 ms,4.57 Mbps
88.99.82.159:443 # DE,207.00 ms,0.00 Mbps
185.195.65.14:443 # DE,211.00 ms,0.00 Mbps
160.153.177.84:8443 # US,211.00 ms,0.00 Mbps
158.180.12.117:443 # GB,216.00 ms,0.00 Mbps
193.219.99.131:8443 # GB,219.00 ms,0.00 Mbps
194.147.58.242:443 # DE,299.00 ms,4.04 Mbps
95.182.99.65:443 # FR,303.00 ms,4.12 Mbps
5.178.96.122:2053 # FI,300.00 ms,3.58 Mbps
62.238.47.196:443 # NL,229.00 ms,0.00 Mbps
31.58.137.94:443 # AE,294.00 ms,2.86 Mbps
45.14.165.234:443 # DE,233.00 ms,0.00 Mbps
5.83.218.80:443 # GB,240.00 ms,0.00 Mbps
209.38.196.126:8443 # CA,253.00 ms,0.00 Mbps
164.92.177.103:2087 # US,254.00 ms,0.00 Mbps
207.154.213.67:443 # DE,255.00 ms,0.00 Mbps
194.48.143.184:2053 # FI,256.00 ms,0.00 Mbps
68.183.215.59:8443 # DE,256.00 ms,0.00 Mbps
207.154.224.207:443 # DE,258.00 ms,0.00 Mbps
207.154.224.207:2083 # DE,259.00 ms,0.00 Mbps
217.144.189.83:443 # GB,260.00 ms,0.00 Mbps
